Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
KRAS_TXNIP	BLCA	WOSecondM	11	109	5	202
KRAS_ELF3	BLCA	WithSecondM	3	7	1	33
KRAS_ELF3	BLCA	WOSecondM	9	107	5	178
KRAS_TSC1	BLCA	WithSecondM	2	8	1	23
KRAS_TSC1	BLCA	WOSecondM	10	106	5	188
KRAS_KANSL1	BLCA	WithSecondM	2	8	1	10
KRAS_KANSL1	BLCA	WOSecondM	10	106	5	201
KRAS_TP53	BLCA	WithSecondM	5	63	1	89
KRAS_TP53	BLCA	WOSecondM	7	51	5	122
KRAS_NFE2L2	BLCA	WithSecondM	1	5	2	18
KRAS_NFE2L2	BLCA	WOSecondM	11	109	4	193
KRAS_ASXL2	BLCA	WithSecondM	2	10	1	17
KRAS_ASXL2	BLCA	WOSecondM	10	104	5	194
KRAS_NRAS	BLCA	WithSecondM	1	2	1	7
KRAS_NRAS	BLCA	WOSecondM	11	112	5	204
KRAS_RB1	BLCA	WithSecondM	3	19	1	34
KRAS_RB1	BLCA	WOSecondM	9	95	5	177
KRAS_KLF5	BLCA	WithSecondM	2	6	2	11
KRAS_KLF5	BLCA	WOSecondM	10	108	4	200
KRAS_RBM10	BLCA	WithSecondM	1	5	1	9
KRAS_RBM10	BLCA	WOSecondM	11	109	5	202
KRAS_KDM6A	BLCA	WithSecondM	3	25	2	59
KRAS_KDM6A	BLCA	WOSecondM	9	89	4	152
KRAS_CUL1	BLCA	WithSecondM	2	5	1	10
KRAS_CUL1	BLCA	WOSecondM	10	109	5	201
KRAS_FBXW7	BLCA	WithSecondM	1	10	1	18
KRAS_FBXW7	BLCA	WOSecondM	11	104	5	193
KRAS_KMT2C	BLCA	WithSecondM	3	25	2	39
KRAS_KMT2C	BLCA	WOSecondM	9	89	4	172
KRAS_ERBB3	BLCA	WithSecondM	3	16	1	18
KRAS_ERBB3	BLCA	WOSecondM	9	98	5	193
KRAS_CDKN2A	BLCA	WithSecondM	2	11	1	10
KRAS_CDKN2A	BLCA	WOSecondM	10	103	5	201
KRAS_DIAPH2	BLCA	WithSecondM	2	5	2	11
KRAS_DIAPH2	BLCA	WOSecondM	10	109	4	200
KRAS_KMT2D	BLCA	WithSecondM	5	33	1	58
KRAS_KMT2D	BLCA	WOSecondM	7	81	5	153
KRAS_STAG2	BLCA	WithSecondM	2	16	1	32
KRAS_STAG2	BLCA	WOSecondM	10	98	5	179
KRAS_RXRA	BLCA	WithSecondM	2	5	2	15
KRAS_RXRA	BLCA	WOSecondM	10	109	4	196
KRAS_ZFP36L1	BLCA	WithSecondM	2	11	1	16
KRAS_ZFP36L1	BLCA	WOSecondM	10	103	5	195
KRAS_HRAS	BLCA	WithSecondM	1	4	1	12
KRAS_HRAS	BLCA	WOSecondM	11	110	5	199
KRAS_RHOB	BLCA	WithSecondM	2	12	1	6
KRAS_RHOB	BLCA	WOSecondM	10	102	5	205
KRAS_RHOA	BLCA	WithSecondM	1	6	1	13
KRAS_RHOA	BLCA	WOSecondM	11	108	5	198
KRAS_EP300	BLCA	WithSecondM	3	17	1	30
KRAS_EP300	BLCA	WOSecondM	9	97	5	181
KRAS_FGFR3	BLCA	WithSecondM	2	8	1	45
KRAS_FGFR3	BLCA	WOSecondM	10	106	5	166
KRAS_PSIP1	BLCA	WithSecondM	1	8	1	10
KRAS_PSIP1	BLCA	WOSecondM	11	106	5	201
KRAS_ERBB2	BLCA	WithSecondM	2	14	2	26
KRAS_ERBB2	BLCA	WOSecondM	10	100	4	185
KRAS_ARID1A	BLCA	WithSecondM	2	27	3	56
KRAS_ARID1A	BLCA	WOSecondM	10	87	3	155
KRAS_FOXA1	BLCA	WithSecondM	1	5	1	5
KRAS_FOXA1	BLCA	WOSecondM	11	109	5	206
KRAS_PTEN	BLCA	WithSecondM	1	3	2	6
KRAS_PTEN	BLCA	WOSecondM	11	111	4	205
KRAS_FAT1	BLCA	WithSecondM	1	16	1	25
KRAS_FAT1	BLCA	WOSecondM	11	98	5	186
KRAS_GNA13	BLCA	WithSecondM	1	3	1	7
KRAS_GNA13	BLCA	WOSecondM	11	111	5	204
KRAS_PIK3CA	BLCA	WithSecondM	4	23	2	43
KRAS_PIK3CA	BLCA	WOSecondM	8	91	4	168
KRAS_CREBBP	BLCA	WithSecondM	3	13	2	27
KRAS_CREBBP	BLCA	WOSecondM	9	101	4	184
