Gene	Tissue	Target	Mut_Gain	NoMut_Gain	Mut_WT	NoMut_WT
KIT_IDH1	SKCM	WithSecondM	1	4	2	8
KIT_IDH1	SKCM	WOSecondM	7	46	6	202
KIT_COL5A1	SKCM	WithSecondM	1	3	2	3
KIT_COL5A1	SKCM	WOSecondM	7	47	6	207
KIT_DACH1	SKCM	WithSecondM	1	1	1	3
KIT_DACH1	SKCM	WOSecondM	7	49	7	207
KIT_BRD7	SKCM	WithSecondM	1	1	2	3
KIT_BRD7	SKCM	WOSecondM	7	49	6	207
KIT_TP53	SKCM	WithSecondM	1	9	2	20
KIT_TP53	SKCM	WOSecondM	7	41	6	190
KIT_PTEN	SKCM	WithSecondM	1	5	1	22
KIT_PTEN	SKCM	WOSecondM	7	45	7	188
KIT_CDK4	SKCM	WithSecondM	1	2	1	7
KIT_CDK4	SKCM	WOSecondM	7	48	7	203
KIT_BRAF	SKCM	WithSecondM	1	28	3	109
KIT_BRAF	SKCM	WOSecondM	7	22	5	101
KIT_GNA11	SKCM	WithSecondM	1	2	1	4
KIT_GNA11	SKCM	WOSecondM	7	48	7	206
BRAF_CTNNB1	SKCM	WithSecondM	8	4	3	4
BRAF_CTNNB1	SKCM	WOSecondM	125	63	30	81
BRAF_MAP2K1	SKCM	WithSecondM	7	5	4	4
BRAF_MAP2K1	SKCM	WOSecondM	126	62	29	81
BRAF_MECOM	SKCM	WithSecondM	4	1	1	1
BRAF_MECOM	SKCM	WOSecondM	129	66	32	84
BRAF_NRAS	SKCM	WithSecondM	1	37	6	52
BRAF_NRAS	SKCM	WOSecondM	132	30	27	33
BRAF_RB1	SKCM	WithSecondM	2	4	3	6
BRAF_RB1	SKCM	WOSecondM	131	63	30	79
BRAF_PPP6C	SKCM	WithSecondM	6	4	3	4
BRAF_PPP6C	SKCM	WOSecondM	127	63	30	81
BRAF_NF1	SKCM	WithSecondM	3	9	2	9
BRAF_NF1	SKCM	WOSecondM	130	58	31	76
BRAF_CDKN2A	SKCM	WithSecondM	16	8	6	13
BRAF_CDKN2A	SKCM	WOSecondM	117	59	27	72
BRAF_DDX3X	SKCM	WithSecondM	7	4	2	6
BRAF_DDX3X	SKCM	WOSecondM	126	63	31	79
BRAF_RQCD1	SKCM	WithSecondM	5	4	2	3
BRAF_RQCD1	SKCM	WOSecondM	128	63	31	82
BRAF_RAC1	SKCM	WithSecondM	8	5	1	5
BRAF_RAC1	SKCM	WOSecondM	125	62	32	80
BRAF_ARID2	SKCM	WithSecondM	11	6	3	9
BRAF_ARID2	SKCM	WOSecondM	122	61	30	76
BRAF_IDH1	SKCM	WithSecondM	5	3	1	9
BRAF_IDH1	SKCM	WOSecondM	128	64	32	76
BRAF_COL5A1	SKCM	WithSecondM	5	1	2	2
BRAF_COL5A1	SKCM	WOSecondM	128	66	31	83
BRAF_DACH1	SKCM	WithSecondM	3	3	1	1
BRAF_DACH1	SKCM	WOSecondM	130	64	32	84
BRAF_BRD7	SKCM	WithSecondM	3	1	1	2
BRAF_BRD7	SKCM	WOSecondM	130	66	32	83
BRAF_TP53	SKCM	WithSecondM	13	12	5	12
BRAF_TP53	SKCM	WOSecondM	120	55	28	73
BRAF_KIT	SKCM	WithSecondM	3	7	1	6
BRAF_KIT	SKCM	WOSecondM	130	60	32	79
BRAF_PTEN	SKCM	WithSecondM	13	3	8	5
BRAF_PTEN	SKCM	WOSecondM	120	64	25	80
BRAF_CDK4	SKCM	WithSecondM	5	1	4	2
BRAF_CDK4	SKCM	WOSecondM	128	66	29	83
BRAF_GNA11	SKCM	WithSecondM	1	2	3	3
BRAF_GNA11	SKCM	WOSecondM	132	65	30	82
